level_indent,unique_key,sd_code,part_no,part_name,process,line_no,supplier,quantity
          5,MIT171,MIT171,72149-X1V10,"PIN, FR SEAT LOCATION",Component,R1,THAI MITCHI,1.0
          5,BWT001,BWT001,KISDM-KRC28,Kiswel-KR KC-28 1.2MM (300Kg P/Pack),Component,R1,BANGKOK WELDING,0.0036
          5,ETP-08,ETP-08,72142-X1V08,"BRACKET, FR OUTER SEAT TRACK, LWR FR LH",1000T,P01-1,Inhouse(P),1.0
            6,TTC066,TTC066,SPH44-20347,SPH440-OD 2.0 X 347 X C(P=118)/2,Component,R1,TTAST,0.3215
,,,,,,,,0.0013
    2,TTC692,TTC692,89916-X7075,NUT,Component,R1,V-V,2.0
  1,MIY053,MIY053,75298-X7V32,COLLER,Component,R1,MIYAMA,2.0
  1,BWT001,BWT001,KISDM-KRC28,Kiswel-KR KC-28 1.2MM (300Kg P/Pack),Component,R1,BANGKOK WELDING,0.0214
  1,SOJ602,SOJ602,GREAS-MA021,GREASE MULTEMP TA NO1 (15Kg.),Component,R1,SOJITA,0.0005
,,,,,,,,
0,DAL-51,DAL-51,72506-X7V44,"ARM SUB-ASSY, RECLINING ADJ, LWR INN LH",Finish Good,DAA-2,,
  1,YDT045,YDT045,79989-X7V05,"BRACKET, SEAT STOPPER",,DAA,SDI,1.0
  1,TGL-02,TGL-02,72520-X7V26,"ADJUSTER ASSY, RECLINING SEAT, LH",,DAA,Inhouse(P),1.0
    2,TGP-01,TGP-01,72515-X7V15,"PLATE, RECLINING ADJUSTER",,600T,Inhouse(P),1.0
      3,HAN122,HAN122,SPC59DU-14163,SPC590-DU 1.4(?0.1)x163xC (P=86),,,TTAST,0.078
      3,SUN003,SUN003,SUNFB-688P,SUNPRESS FB-688P(200L/1Pail),Oil,R1,Top sun,0.0013
        4,N32-27,N32-27,72513-X1F00,"PLATE, RECLINING ADJUSTER UPR ARM, RH  Ring",600T,501,Inhouse(P),1.0
          5,HAN032,HAN032,SPH27-14190-1,SPH270C-OD 1.4 X 190/2 X C(P=100),Coil,R4,TTAST,0.20881
,,,,,,,,0.0013
          5,PN:72513-X1F00,,72513-X1F00,"PLATE, RECLINING ADJUSTER UPR ARM, RH  Ring",Washing,570,Inhouse,1.0
            6,PIC002,PIC002,PK-T4910N,PARKER CLEANER PK-T4910N,CLEANER,R1,Parker Inter,0.0011
            6,SUN001,SUN001,PRETON-R337W,PRETON R-337W (20 L/1can),Oil,R1,Top sun,0.0038
,,,,,,,,1.0
          5,PIC002,PIC002,PK-T4910N,PARKER CLEANER PK-T4910N,CLEANER,R1,Parker Inter,0.0011
          5,SUN001,SUN001,PRETON-R337W,PRETON R-337W (20 L/1can),Oil,R1,Top sun,0.0038
          5,N32-27-W,N32-27-W,72513-X1F00-W,"PLATE, RECLINING ADJUSTER UPR ARM, RH  Ring",Washing,570,Inhouse,1.0
            6,PIC002,PIC002,PK-T4910N,PARKER CLEANER PK-T4910N,CLEANER,R1,Parker Inter,0.0011
          5,N32-27-A,N32-27-A,72513-X1F00-A,"PLATE, RECLINING ADJUSTER UPR ARM, RH  Ring",Anti Rust,572,Inhouse,1.0
            6,SUN001,SUN001,PRETON-R337W,PRETON R-337W (20 L/1can),Oil,R1,Top sun,0.0038
        4,PIC002,PIC002,PK-T4910N,PARKER CLEANER PK-T4910N,CLEANER,R1,Parker Inter,0.0011
        4,SUN001,SUN001,PRETON-R337W,PRETON R-337W (20 L/1can),Oil,R1,Top sun,0.3
        4,N32-18,N32-18,72523-X1M06,"PLATE, RECLINING ADJUSTER LWR ARM, RH  Guied",600T,501,Inhouse(P),1.0
          5,HAN033,HAN033,SPH44-4384,SPH440-OD-T 4.3X84 (P=86),Coil,R4,TTAST,0.243846
,,,,,,,,0.0025
          5,PN:72523-X1M06,,72523-X1M06,"PLATE, RECLINING ADJUSTER LWR ARM, RH  Guied",Washing,570,Inhouse,1.0
            6,PIC002,PIC002,PK-T4910N,PARKER CLEANER PK-T4910N,CLEANER,R1,Parker Inter,0.0011
            6,SUN001,SUN001,PRETON-R337W,PRETON R-337W (20 L/1can),Oil,R1,Top sun,0.0038
,,,,,,,,1.0
          5,PIC002,PIC002,PK-T4910N,PARKER CLEANER PK-T4910N,CLEANER,R1,Parker Inter,0.0011
          5,SUN001,SUN001,PRETON-R337W,PRETON R-337W (20 L/1can),Oil,R1,Top sun,0.0038
          5,N32-18-A,N32-18-A,72523-X1M06-A,"PLATE, RECLINING ADJUSTER LWR ARM, RH  Guied",Washing,570,Inhouse,1.0
            6,PIC002,PIC002,PK-T4910N,PARKER CLEANER PK-T4910N,CLEANER,R1,Parker Inter,0.0011
            6,SUN001,SUN001,PRETON-R337W,PRETON R-337W (20 L/1can),Oil,R1,Top sun,0.0038
          5,N32-18-W,N32-18-W,72523-X1M06,"PLATE, RECLINING ADJUSTER LWR ARM, RH  Guied",Anti Rust,572,Inhouse,1.0
            6,SUN001,SUN001,PRETON-R337W,PRETON R-337W (20 L/1can),Oil,R1,Top sun,0.0038
            6,PIC002,PIC002,PK-T4910N,PARKER CLEANER PK-T4910N,CLEANER,R1,Parker Inter,0.0011
        4,N32-02,N32-02,72531-X1C02,"RATCHET, RECLINING ADJUSTER",600T,501,Inhouse(P),1.0
